"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
"
North America
","9,536,240","+9,284","326,102",+169,"6,254,491","+4,005","2,955,647"
"
Asia
","11,757,408","+26,292","212,262",+634,"10,068,859","+38,674","1,476,287"
"
South America
","8,641,739",+237,"270,536",+30,"7,482,038",+439,"889,165"
"
Europe
","5,990,685","+47,524","230,718",+411,"3,022,440","+11,723","2,737,527"
"
Africa
","1,579,763","+1,464","37,974",+14,"1,305,895",+439,"235,894"
"
Oceania
","32,505",+28,942,+1,"29,405",+11,"2,158"
"

",721,,15,,659,,47
Total:,"1,578,299","+13,525","37,960",+271,"1,305,456","+6,026","234,883"
Total:,"32,477",+19,941,,"29,394",,"2,142"
Total:,721,,15,,659,,47
Total:,"37,454,232","+355,911","1,077,290","+5,074","28,108,496","+217,912","8,268,446"

"
Asia
","11,622,041","+106,437","209,991","+1,634","9,918,225","+109,627","1,493,825"
"
North America
","9,463,802","+72,600","324,791","+1,367","6,215,108","+67,331","2,923,903"
"
South America
","8,578,654","+60,151","269,246","+1,561","7,437,302","+42,684","872,106"
"
Europe
","5,835,871","+110,050","229,543","+1,007","2,990,490","+23,407","2,615,838"
"
Africa
","1,564,774","+8,757","37,689",+237,"1,299,430","+7,230","227,655"
"
Oceania
","32,458",+359,941,,"29,378",+183,"2,139"
"

",721,,15,,651,,55
World,"37,098,321","+358,354","1,072,216","+5,806","27,890,584","+250,462","8,135,521"
China,"85,521",+21,"4,634 ",,"80,681",+15,206
USA,"7,894,629","+60,559","218,647 ",+909,"5,064,300","+39,107","2,611,682"
India,"6,977,008","+73,196","107,450 ",+929,"5,985,505","+82,298","884,053"
Brazil,"5,057,190","+27,651","149,692 ",+658,"4,433,595","+19,031","473,903"
Russia,"1,272,238","+12,126","22,257 ",+201,"1,009,421","+7,092","240,560"
Colombia,"894,300","+8,121","27,495 ",+164,"780,547","+2,889","86,258"
Spain,"890,367","+5,986","32,929 ",+241,N/A,N/A,N/A
Argentina,"871,468","+15,099","23,225 ",+515,"697,141","+12,297","151,102"
Peru,"843,355","+4,741","33,158 ",+60,"733,000","+4,784","77,197"
Mexico,"804,488","+5,300","83,096 ",+370,"583,603","+22,708","137,789"
France,"691,977","+20,339","32,583 ",+62,"100,828",+522,"558,566"
South Africa,"688,352","+1,461","17,547 ",+139,"620,081","+1,310","50,724"
UK,"575,678","+13,863","42,679 ",+87,N/A,N/A,N/A
Iran,"492,378","+4,142","28,098 ",+210,"401,379","+2,079","62,901"
Chile,"477,769","+1,753","13,220 ",+53,"450,297","+1,587","14,252"
Iraq,"397,780","+3,214","9,735 ",+52,"328,097","+4,282","59,948"
Bangladesh,"375,870","+1,278","5,477 ",+17,"289,912","+1,596","80,481"
Italy,"343,770","+5,372","36,111 ",+28,"237,549","+1,186","70,110"
Saudi Arabia,"338,539",+407,"4,996 ",+24,"324,282",+513,"9,261"
Philippines,"334,677","+2,903","6,151  ",+82,"275,252",+990,"53,274"
Turkey,"332,382","+1,629","8,722 ",+55,"291,754","+1,402","31,906"
Indonesia,"324,658","+4,094","11,677 ",+97,"247,667","+3,607","65,314"
Germany,"320,478","+4,964","9,687 ",+20,"271,800","+2,300","38,991"
Pakistan,"317,595",+661,"6,552 ",+8,"302,708",+333,"8,335"
Israel,"287,858","+2,522","1,886 ",+22,"225,248","+3,677","60,724"
Ukraine,"250,538","+5,804","4,779 ",+89,"110,650","+2,417","135,109"
Canada,"178,117","+2,558","9,585 ",+28,"149,524","+2,016","19,008"
Netherlands,"161,781","+5,971","6,544 ",+13,N/A,N/A,N/A
Romania,"148,886","+3,186","5,299 ",+52,"114,792","+1,680","28,795"
Morocco,"146,398","+3,445","2,530 ",+44,"123,022","+2,747","20,846"
Ecuador,"145,848",+803,"12,175 ",+34,"120,511",,"13,162"
Belgium,"143,596","+5,728","10,126 ",+18,"19,981",+86,"113,489"
Bolivia,"137,969",+263,"8,228 ",+36,"99,812",+544,"29,929"
Qatar,"127,600",+206,219 ,+1,"124,559",+232,"2,822"
Panama,"118,841",+787,"2,474 ",+11,"94,962",+571,"21,405"
Dominican Republic,"117,457",+585,"2,165 ",+2,"93,061",+494,"22,231"
Poland,"116,338","+4,739","2,919 ",+52,"77,875","+1,385","35,544"
Kuwait,"110,076",+635,649 ,+7,"102,024",+710,"7,403"
Czechia,"109,374","+8,617",905 ,+36,"53,173","+2,013","55,296"
Kazakhstan,"108,561",+107,"1,746 ",,"103,758",+154,"3,057"
Egypt,"104,262",+106,"6,029 ",+12,"97,592",+68,641
Oman,"104,129",,"1,009 ",,"91,731",,"11,389"
UAE,"104,004","+1,075",442 ,+4,"94,903","+1,424","8,659"
Nepal,"100,676","+2,059",600 ,+10,"73,023","+1,680","27,053"
Sweden,"98,451",,"5,894 ",+5,N/A,N/A,N/A
Guatemala,"96,935",+455,"3,356 ",+9,"85,343",+605,"8,236"
Japan,"87,639",+619,"1,616 ",+3,"80,733",+506,"5,290"
Costa Rica,"86,053","+1,225","1,055 ",+15,"52,327",+545,"32,671"
Portugal,"83,928","+1,394","2,062 ",+12,"52,164",+647,"29,702"
Ethiopia,"82,662",+865,"1,271 ",+9,"37,102",+668,"44,289"
Belarus,"82,471",+489,885 ,+5,"76,543",+462,"5,043"
Venezuela,"81,696",+677,684 ,+6,"73,020",+824,"7,992"
Honduras,"81,672",+512,"2,477 ",+11,"31,089",+499,"48,106"
Bahrain,"74,860",+438,271 ,+7,"70,406",+995,"4,183"
Moldova,"60,833",+918,"1,442 ",+18,"43,489",+481,"15,902"
Switzerland,"60,368","+1,487","2,088 ",+1,"48,400",,"9,880"
Uzbekistan,"60,342",+316,498 ,+2,"57,221",+384,"2,623"
Nigeria,"59,992",+151,"1,113 ",,"51,614",+63,"7,265"
Singapore,"57,859",+10,27 ,,"57,675",+7,157
Armenia,"55,087",+614,"1,010 ",+6,"45,528",+216,"8,549"
Austria,"53,188","+1,131",842 ,+4,"42,039",+750,"10,307"
Algeria,"52,804",+146,"1,789 ",+6,"37,067",+109,"13,948"
Lebanon,"51,170","+1,426",450 ,+11,"22,407",+647,"28,313"
Kyrgyzstan,"48,617",+275,"1,077 ",+4,"44,097",+140,"3,443"
Paraguay,"48,275",+959,"1,045 ",+33,"30,643",+667,"16,587"
Ghana,"46,987",+40,306 ,,"46,378",+119,303
Palestine,"43,664",+408,367 ,+8,"36,922",+338,"6,375"
Azerbaijan,"41,519",+215,605 ,+2,"39,129",+117,"1,785"
Libya,"41,368","+1,076",621 ,+5,"23,453",+323,"17,294"
Ireland,"40,703",+617,"1,821 ",+4,"23,364",,"15,518"
Kenya,"40,620",+442,755 ,+4,"31,876",+166,"7,989"
Afghanistan,"39,693",+77,"1,472 ",+2,"33,058",,"5,163"
Hungary,"35,222","+1,176",913 ,+15,"9,202",+15,"25,107"
Serbia,"34,517",+173,761 ,+1,"31,536",,"2,220"
Denmark,"31,638",+482,665 ,,"25,502",+603,"5,471"
El Salvador,"29,951",+109,881 ,+4,"24,995",+225,"4,075"
Bosnia and Herzegovina,"29,917",+389,926 ,+13,"23,241",+302,"5,750"
Australia,"27,229",+23,897 ,,"24,972",+21,"1,360"
Tunisia,"26,899",,409 ,,"5,032",,"21,458"
S. Korea,"24,476",+54,428 ,+1,"22,569",+106,"1,479"
Myanmar,"23,906","+1,461",566 ,+31,"6,738",+372,"16,602"
Bulgaria,"23,871",+612,887 ,+7,"15,713",+150,"7,271"
Jordan,"22,763","+1,246",166 ,+22,"5,906",+129,"16,691"
Greece,"21,772",+391,431 ,+1,"9,989",,"11,352"
Cameroon,"21,203",,423 ,,"20,117",,663
North Macedonia,"20,163",+386,781 ,+6,"16,009",+154,"3,373"
Ivory Coast,"20,036",+54,120 ,,"19,696",+70,220
Croatia,"19,446",+457,313 ,+3,"16,695",+222,"2,438"
Slovakia,"16,910","+1,184",57 ,,"5,452",+99,"11,401"
Madagascar,"16,676",+22,237 ,+2,"15,975",+65,464
Norway,"15,388",+167,275 ,,"11,863",,"3,250"
Zambia,"15,339",+38,336 ,+1,"14,439",+74,564
Senegal,"15,213",+23,313 ,,"13,136",+68,"1,764"
Albania,"15,066",+167,413 ,+2,"9,304",+89,"5,349"
Malaysia,"14,722",+354,152 ,+6,"10,707",+188,"3,863"
Sudan,"13,670",,836 ,,"6,764",,"6,070"
Montenegro,"13,348",+344,194 ,+3,"9,326",+172,"3,828"
Namibia,"11,829",+48,127 ,,"9,778",+19,"1,924"
Finland,"11,580",+235,346 ,,"8,500",,"2,734"
Guinea,"10,954",+53,68 ,,"10,265",+33,621
DRC,"10,835",+13,276 ,,"10,242",,317
Maldives,"10,808",+66,34 ,,"9,654",+65,"1,120"
Georgia,"10,752",+527,72 ,+6,"5,866",+313,"4,814"
French Guiana,"10,144",+16,69 ,,"9,810",+11,265
Tajikistan,"10,137",+40,79 ,+1,"8,959",+45,"1,099"
Mozambique,"9,742",+103,69 ,+1,"7,171",+260,"2,502"
Uganda,"9,538",+96,86 ,+1,"5,857",+76,"3,595"
Luxembourg,"9,360",+141,130 ,+1,"8,038",+65,"1,192"
Haiti,"8,854",,230 ,,"7,013",,"1,611"
Gabon,"8,835",+20,54 ,,"8,189",+25,592
Zimbabwe,"7,994",+43,229 ,,"6,474",+28,"1,291"
Slovenia,"7,872",+363,165 ,+4,"4,842",+187,"2,865"
Mauritania,"7,548",+8,163 ,+1,"7,245",+18,140
Jamaica,"7,363",+90,132 ,+4,"3,102",+370,"4,129"
Cabo Verde,"6,809",+92,73 ,+2,"5,932",+111,804
Guadeloupe,"6,483",+164,77 ,,"2,199",,"4,207"
Angola,"6,031",+73,212 ,+4,"2,685",+50,"3,134"
Cuba,"5,943",+26,123 ,,"5,398",+27,422
Malawi,"5,813",+4,180 ,,"4,631",+5,"1,002"
Lithuania,"5,758",+133,103 ,+1,"2,722",+62,"2,933"
Eswatini,"5,644",+12,113 ,,"5,254",+23,277
Djibouti,"5,423",,61 ,,"5,355",,7
Nicaragua,"5,264",,153 ,,"4,225",,886
Hong Kong,"5,170",+8,105 ,,"4,906",+16,159
Congo,"5,118",+29,90 ,+1,"3,887",,"1,141"
Equatorial Guinea,"5,063",+1,83 ,,"4,894",,86
Trinidad and Tobago,"5,021",+58,89 ,+3,"3,150",+74,"1,782"
Suriname,"5,018",+14,106 ,,"4,816",+22,96
Rwanda,"4,890",+5,30 ,+1,"3,555",+13,"1,305"
CAR,"4,853",,62 ,,"1,914",,"2,877"
Bahamas,"4,713",,102 ,,"2,607",,"2,004"
Syria,"4,616",+50,218 ,+3,"1,235",+23,"3,163"
Sri Lanka,"4,523",+35,13 ,,"3,296",+18,"1,214"
Réunion,"4,491",+106,16 ,,"3,994",+634,481
Aruba,"4,167",+17,32 ,+1,"3,718",,417
Mayotte,"3,989",+97,43 ,+1,"2,964",,982
Estonia,"3,809",+49,68 ,+1,"2,906",+82,835
Somalia,"3,745",,99 ,,"3,010",,636
Thailand,"3,628",+6,59 ,,"3,441",+2,128
Gambia,"3,621",+4,117 ,,"2,489",+52,"1,015"
Malta,"3,581",+75,41 ,,"2,915",+31,625
Iceland,"3,373",+106,10 ,,"2,448",+37,915
Guyana,"3,358",+29,100 ,+2,"2,180",+15,"1,078"
Mali,"3,248",+13,131 ,,"2,514",+8,603
Botswana,"3,219",,18 ,,834,,"2,367"
South Sudan,"2,761",+12,54 ,+1,"1,290",,"1,417"
French Polynesia,"2,754",+334,10 ,,"2,019",+162,725
Andorra,"2,696",+128,55 ,+1,"1,814",+99,827
Latvia,"2,507",+137,40 ,,"1,322",,"1,145"
Benin,"2,411",,41 ,,"1,973",,397
Guinea-Bissau,"2,385",,40 ,,"1,728",,617
Belize,"2,373",+63,34 ,,"1,459",+32,880
Sierra Leone,"2,295",+2,72 ,,"1,723",+2,500
Burkina Faso,"2,254",+13,60 ,,"1,516",+10,678
Uruguay,"2,251",+25,49 ,,"1,917",+13,285
Yemen,"2,051",+1,593 ,,"1,329",,129
Cyprus,"1,951",+33,25 ,+1,"1,369",,557
Togo,"1,921",+14,49 ,,"1,433",+7,439
New Zealand,"1,866",+2,25 ,,"1,800",,41
Martinique,"1,851",,22 ,,98,,"1,731"
Lesotho,"1,800",+14,42 ,+1,926,,832
Liberia,"1,360",,82 ,,"1,245",,33
Chad,"1,274",+12,90 ,+1,"1,102",+4,82
Niger,"1,201",,69 ,,"1,123",+1,9
Vietnam,"1,105",+5,35 ,,"1,024",+1,46
Sao Tome and Principe,922,+1,15 ,,890,,17
San Marino,741,,42 ,,682,,17
Diamond Princess,712,,13 ,,651,,48
Channel Islands,699,,48 ,,623,,28
Sint Maarten,699,+1,22 ,,620,+28,57
Turks and Caicos,695,,6 ,,672,+1,17
Papua New Guinea,549,,7 ,,532,,10
Curaçao,549,+17,1 ,,291,+10,257
Taiwan,527,+3,7 ,,488,+3,32
Burundi,515,,1 ,,472,,42
Tanzania,509,,21 ,,183,,305
Comoros,495,,7 ,,475,,13
Faeroe Islands,477,, ,,459,+3,18
Gibraltar,468,+16, ,,398,+12,70
Saint Martin,466,+54,8 ,,309,,149
Eritrea,405,, ,,364,,41
Mauritius,395,,10 ,,358,,27
Isle of Man,345,,24 ,,316,,5
Mongolia,315,, ,,308,,7
Bhutan,304,, ,,255,+3,49
Cambodia,282,+1, ,,277,+1,5
Monaco,233,+4,2 ,,209,+2,22
Cayman Islands,220,+6,1 ,,211,,8
Barbados,204,+1,7 ,,182,,15
Bermuda,184,+2,9 ,,170,,5
Caribbean Netherlands,148,+7,2 ,,78,+11,68
Seychelles,148,, ,,144,+1,4
Brunei ,146,,3 ,,143,,0
Liechtenstein,139,+4,1 ,,117,,21
Antigua and Barbuda,111,,3 ,,97,,11
British Virgin Islands,71,,1 ,,70,+1,0
St. Barth,65,+3, ,,37,,28
St. Vincent Grenadines,64,, ,,64,,0
Macao,46,, ,,46,,0
Fiji,32,,2 ,,28,,2
Dominica,32,, ,,24,,8
Saint Lucia,28,, ,,27,,1
Timor-Leste,28,, ,,28,,0
New Caledonia,27,, ,,27,,0
Grenada,24,, ,,24,,0
Laos,23,, ,,22,,1
Saint Kitts and Nevis,19,, ,,18,+1,1
Greenland,16,+1, ,,14,,2
Saint Pierre Miquelon,16,, ,,12,+6,4
Montserrat,13,,1 ,,12,,0
Falkland Islands,13,, ,,13,,0
Vatican City,12,, ,,12,,0
Western Sahara,10,,1 ,,8,,1
MS Zaandam,9,,2 ,,,,7
Anguilla,3,, ,,3,,0
Solomon Islands,1,, ,,,,1
Total:,"11,622,041","+106,437","209,991","+1,634","9,918,225","+109,627","1,493,825"
Total:,"9,463,802","+72,600","324,791","+1,367","6,215,108","+67,331","2,923,903"
Total:,"8,578,654","+60,151","269,246","+1,561","7,437,302","+42,684","872,106"
Total:,"5,835,871","+110,050","229,543","+1,007","2,990,490","+23,407","2,615,838"
Total:,"1,564,774","+8,757","37,689",+237,"1,299,430","+7,230","227,655"
Total:,"32,458",+359,941,,"29,378",,"2,139"
Total:,721,,15,,651,,55
Total:,"37,098,321","+358,354","1,072,216","+5,806","27,890,584","+250,462","8,135,521"
